MSOA21CD,IMD Decile
E02000001,8
E02000002,3
E02000003,4
E02000004,5
E02000005,4
E02000007,3
E02000008,2
E02000009,3
E02000010,3
E02000011,3
E02000012,5
E02000013,3
E02000014,3
E02000015,2
E02000016,2
E02000017,3
E02000018,2
E02000019,3
E02000020,3
E02000021,3
E02000022,3
E02000023,3
E02000024,8
E02000025,6
E02000026,7
E02000027,5
E02000028,7
E02000029,5
E02000030,8
E02000031,7
E02000032,9
E02000033,6
E02000034,6
E02000035,6
E02000036,5
E02000037,6
E02000038,5
E02000039,7
E02000040,6
E02000041,3
E02000042,5
E02000043,9
E02000044,4
E02000045,4
E02000046,6
E02000047,3
E02000048,7
E02000049,3
E02000050,5
E02000051,6
E02000052,6
E02000054,5
E02000055,4
E02000056,8
E02000057,4
E02000058,5
E02000059,4
E02000060,3
E02000061,6
E02000062,2
E02000063,3
E02000064,5
E02000065,4
E02000066,3
E02000067,4
E02000068,3
E02000069,6
E02000070,7
E02000071,5
E02000072,4
E02000073,9
E02000074,3
E02000075,9
E02000077,7
E02000078,8
E02000079,7
E02000080,7
E02000081,7
E02000082,9
E02000083,5
E02000084,9
E02000085,8
E02000086,9
E02000087,8
E02000088,9
E02000089,9
E02000090,7
E02000091,7
E02000092,3
E02000093,5
E02000094,4
E02000095,5
E02000096,7
E02000097,4
E02000098,5
E02000099,4
E02000100,7
E02000101,3
E02000102,1
E02000103,2
E02000104,4
E02000105,3
E02000106,1
E02000107,3
E02000108,4
E02000110,4
E02000111,3
E02000112,3
E02000113,1
E02000114,3
E02000115,4
E02000116,1
E02000117,1
E02000118,3
E02000119,2
E02000120,3
E02000121,3
E02000122,6
E02000123,2
E02000124,4
E02000125,5
E02000126,2
E02000127,4
E02000128,8
E02000130,5
E02000131,5
E02000132,7
E02000133,10
E02000134,4
E02000135,2
E02000136,7
E02000137,9
E02000138,10
E02000139,7
E02000140,3
E02000141,6
E02000142,9
E02000144,8
E02000145,3
E02000146,7
E02000147,10
E02000148,9
E02000149,5
E02000150,8
E02000151,10
E02000152,5
E02000153,9
E02000154,7
E02000155,7
E02000156,9
E02000157,10
E02000158,6
E02000159,9
E02000160,9
E02000161,10
E02000162,8
E02000163,9
E02000165,7
E02000166,5
E02000167,9
E02000168,5
E02000169,9
E02000170,6
E02000171,6
E02000172,4
E02000173,8
E02000174,4
E02000175,6
E02000176,8
E02000177,4
E02000178,2
E02000179,5
E02000180,4
E02000181,7
E02000182,6
E02000183,5
E02000184,3
E02000185,2
E02000186,3
E02000187,3
E02000188,3
E02000191,5
E02000192,4
E02000193,4
E02000194,4
E02000195,7
E02000196,4
E02000197,5
E02000198,3
E02000199,4
E02000200,3
E02000201,3
E02000202,4
E02000203,2
E02000204,4
E02000206,3
E02000207,3
E02000208,2
E02000209,3
E02000210,5
E02000211,8
E02000212,2
E02000213,3
E02000214,7
E02000215,5
E02000216,8
E02000217,3
E02000218,6
E02000219,8
E02000221,4
E02000222,7
E02000223,2
E02000224,5
E02000225,3
E02000226,9
E02000227,6
E02000228,10
E02000229,2
E02000230,6
E02000231,9
E02000232,9
E02000233,7
E02000234,6
E02000235,8
E02000236,9
E02000237,8
E02000238,4
E02000239,6
E02000240,3
E02000241,3
E02000242,4
E02000243,4
E02000244,3
E02000245,2
E02000246,3
E02000247,3
E02000248,3
E02000249,3
E02000250,8
E02000251,4
E02000252,3
E02000253,2
E02000254,3
E02000255,6
E02000256,6
E02000258,5
E02000259,5
E02000260,2
E02000261,4
E02000262,3
E02000263,2
E02000264,5
E02000265,3
E02000266,2
E02000267,5
E02000268,7
E02000269,6
E02000270,4
E02000271,7
E02000272,7
E02000275,3
E02000276,6
E02000277,3
E02000278,1
E02000279,2
E02000280,4
E02000281,4
E02000282,1
E02000283,2
E02000284,5
E02000285,8
E02000286,6
E02000287,8
E02000288,2
E02000289,9
E02000290,1
E02000291,4
E02000292,4
E02000293,9
E02000294,2
E02000295,6
E02000296,4
E02000297,7
E02000298,8
E02000299,1
E02000300,2
E02000301,1
E02000302,5
E02000303,2
E02000304,9
E02000305,5
E02000306,1
E02000307,3
E02000308,3
E02000309,1
E02000311,3
E02000312,4
E02000313,2
E02000314,4
E02000315,3
E02000317,3
E02000318,3
E02000319,3
E02000320,4
E02000321,2
E02000323,3
E02000324,3
E02000326,6
E02000327,4
E02000328,6
E02000329,4
E02000331,4
E02000332,6
E02000333,7
E02000334,4
E02000335,8
E02000337,3
E02000339,6
E02000340,5
E02000341,2
E02000342,5
E02000343,4
E02000344,7
E02000345,1
E02000346,3
E02000347,1
E02000348,1
E02000350,4
E02000351,4
E02000352,4
E02000353,6
E02000354,3
E02000355,4
E02000356,5
E02000357,2
E02000358,3
E02000359,4
E02000360,2
E02000361,2
E02000362,2
E02000363,2
E02000364,4
E02000366,3
E02000367,4
E02000368,3
E02000369,4
E02000370,4
E02000372,3
E02000373,2
E02000374,4
E02000375,3
E02000376,3
E02000377,4
E02000378,4
E02000379,6
E02000380,6
E02000381,6
E02000382,6
E02000383,6
E02000384,4
E02000385,6
E02000386,4
E02000387,5
E02000388,5
E02000389,8
E02000390,5
E02000391,5
E02000392,4
E02000393,8
E02000394,6
E02000395,7
E02000396,6
E02000397,2
E02000398,1
E02000400,3
E02000401,2
E02000402,1
E02000403,3
E02000404,2
E02000405,8
E02000406,2
E02000407,1
E02000408,2
E02000409,3
E02000410,7
E02000411,3
E02000412,2
E02000413,7
E02000414,2
E02000415,3
E02000416,4
E02000417,8
E02000418,8
E02000419,4
E02000420,2
E02000421,2
E02000422,2
E02000423,4
E02000424,5
E02000425,1
E02000426,7
E02000427,3
E02000428,2
E02000429,8
E02000430,7
E02000431,8
E02000432,5
E02000433,7
E02000434,6
E02000435,5
E02000436,9
E02000437,5
E02000438,7
E02000439,4
E02000440,7
E02000441,7
E02000442,5
E02000443,4
E02000444,6
E02000445,3
E02000447,8
E02000448,8
E02000449,5
E02000451,9
E02000452,3
E02000453,6
E02000454,10
E02000455,5
E02000456,7
E02000457,8
E02000459,4
E02000460,4
E02000461,7
E02000462,4
E02000463,4
E02000464,3
E02000465,3
E02000466,4
E02000467,2
E02000468,5
E02000469,3
E02000470,7
E02000471,9
E02000472,7
E02000473,7
E02000474,6
E02000475,7
E02000476,4
E02000477,9
E02000478,10
E02000479,5
